tweet_count,username,text,created_at,retweets,likes
32,g1 Bauru,"🚨 Carreta pega fogo e causa interdição parcial na Raposo Tavares
https://t.co/xyEm31Z8S8 #g1 #Rancharia https://t.co/H1oRe3bwdY",Sat Sep 20 20:51:56 +0000 2025,0,0,"fogo, interdição"
33,g1 Bauru,"🛣️Motorista é preso transportando mais de 10 kg de skunk em rodovia de Pongaí
https://t.co/W7aL0wMsHX #g1 #Pongaí https://t.co/qh67L25oam",Sun Sep 28 18:23:31 +0000 2025,0,1,"moto, preso"
34,BOLETIM DE OCORRÊNCIA 🇧🇷,#BOLETIM de #OCORRÊNCIA: A SIRENE DA #POLÍCIA - A VOZ DO #POLICIAL. https://t.co/UvEHpGDG3b,Wed Oct 01 14:20:52 +0000 2025,0,0,polícia
35,Polícia Federal,"🚨🚔#OPERAÇÃOPF | PF desarticula organização criminosa especializada em lavagem de dinheiro do tráfico de drogas. Foram cumpridos 8 mandados de busca e apreensão em Bauru e Piratininga. 

➡️Saiba mais: https://t.co/X62qfs319k https://t.co/eUXYqj2Mzx",Thu Jun 26 14:51:28 +0000 2025,26,97,"criminosa, droga, operação, tráfico"
36,Sandro Luis (セロ) 🏳️‍🌈 😺,"Daí cai, morre e a gente é obrigado a ter empatia sob pena de ser escorraçado.",Wed Oct 01 14:42:05 +0000 2025,0,0,morre
37,fabbas SIMPLANTICO,"IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA

IR ZERO SEM ARMADILHA",Wed Oct 01 14:29:24 +0000 2025,0,0,Nenhum
38,vaca profana,preciso comprar piso pra minha casa preciso consertar o carro preciso de móveis preciso pagar minhas multas de velocidade preciso comprar sapatilha pro espetáculo preciso quitar meus empréstimos preciso pagar o financiamento do ape precis,Wed Oct 01 14:27:15 +0000 2025,0,0,carro
39,BOLETIM DE OCORRÊNCIA 🇧🇷,"#Filosofia do #Boletim: Para você refletir e difundir ! Que você tenha sempre força, coragem, saúde e paz. https://t.co/nh1ZDg6xLn",Wed Oct 01 14:15:07 +0000 2025,0,0,Nenhum
40,Esteban Tavares 🇦🇹,"É que o Urubu tá querendo comer mas o boi não quer morrer, não tem alimentação",Wed Oct 01 14:46:43 +0000 2025,0,0,morre
41,Direita Raiz 🇧🇷🇮🇱,"Em Bauru, homem de 26 anos ataca menina de 12 anos que ia para escola com colega, um homem de um astra que aparece no video notou algo estranho e abordou o sujeito, a menina chorando correu, a população agrediu o assediador que foi preso por tentativa de estupro https://t.co/Mn0SS4Nveo",Tue Sep 02 11:36:41 +0000 2025,1,46,"estupro, preso"
